Company / Outreach Account	Brands / Business Units	In Italy?	Locations	Master-fit Themes	Matching Job Titles	Job Links	Role Count	Curricular Evidence	Work Modes	Sources / Portals	Previously Contacted?	Contact Search Status	Contact Name	Contact Role	Contact Email / LinkedIn	Outreach Decision	Notes	Verification Status	Last Checked	First Contact Date	Recall
Lipari Consulting		Yes	Milan, Lombardy, Italy	Consulting / Operations; Business / Innovation Strategy	1. Junior Business Consultant	1. https://it.linkedin.com/jobs/view/4370705728	1	To verify	hybrid	LinkedIn Jobs	To verify	Not started				Review	[NEW COMPANY] 1 new role(s). 1. [pertinente] Match score: 72/100; Consulenza direzionale con revisione processi e strategie di crescita, inserimento iniziale tramite stage.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
LSC - LifeSciences Consultants		Yes	Milan, Lombardy, Italy	Business / Innovation Strategy	1. Business Analyst Intern - Life Sciences Strategy (Milan)	1. https://it.linkedin.com/jobs/view/4435201700	1	To verify	To verify	LinkedIn Jobs	No	Contacted				Review	[UPDATE EXISTING ROW] 1 new role(s). 1. [pertinente] Match score: 72/100; Business Analyst Intern in consulenza strategica life sciences: analisi di mercato, sintesi di insight e raccomandazioni al cliente.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
Nadara		Yes	Trezzano sul Naviglio, Lombardy, Italy	Business / Innovation Strategy	1. Junior Energy Specialist - Intern	1. https://it.linkedin.com/jobs/view/4465238512	1	To verify	hybrid	LinkedIn Jobs	To verify	Not started				Review	[NEW COMPANY] 1 new role(s). 1. [pertinente] Match score: 72/100; Regulatory/market scenario analysis, feasibility studies and development of innovative business models.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
Intellera Consulting		Yes	Milan, Lombardy, Italy	Consulting / Operations; Transformation / Change	1. PMO IT - Intern Milano	1. https://it.linkedin.com/jobs/view/4438197418	1	To verify	hybrid	LinkedIn Jobs	Yes	Contacted				Review	[UPDATE EXISTING ROW] 1 new role(s). 1. [pertinente] Match score: 70/100; Consulenza di digital transformation per la PA con raccolta requisiti, analisi di processi e modelli organizzativi, oltre al PMO.	Employer verified active; posting confirmed live on the employer's own careers site	2026-09-17		
Masco Group		Yes	Settala, Lombardy, Italy	Business / Innovation Strategy; Transformation / Change	1. Analyst Intern	1. https://careers.kpmg.it/job/Milano-Junior-Consultant-Business-Transformation/1367356557/ alt. https://it.linkedin.com/jobs/view/4467965269	1	extracurricular	hybrid	LinkedIn Jobs	To verify	Not started				Review	[NEW COMPANY] 1 new role(s). 1. [pertinente] Match score: 70/100; Quantitative/qualitative analysis, business cases and workshop participation inside a cross-functional transformation programme.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
The HEINEKEN Company		Yes	Sesto San Giovanni, Lombardy, Italy	Transformation / Change; CRM / Customer Intelligence; Business / Innovation Strategy	1. Transformation Trainee | 2. Category Development & Shopper Trainee | 3. Customer Plan Trainee	1. https://it.linkedin.com/jobs/view/4466103094 | 2. https://it.linkedin.com/jobs/view/4461312249 | 3. https://it.linkedin.com/jobs/view/4461315179	3	To verify	To verify	LinkedIn Jobs	To verify	Not started				Review	[HISTORY TO VERIFY] 3 new role(s). 1. [pertinente] Match score: 70/100; Explicit as-is/to-be process mapping plus stakeholder requirements gathering and roadmap alignment. 2. [pertinente] Match score: 60/100; Shopper/category insight generation turned into commercial recommendations and in-store tests. 3. [adiacente] Match score: 45/100; Customer clustering and commercial insight, but a large share is data-collection tooling and sales-force monitoring.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
TNP Italia		Yes	Milan, Lombardy, Italy	Consulting / Operations; Business / Innovation Strategy; Transformation / Change	1. Intern Consultant	1. https://it.linkedin.com/jobs/view/4459525328	1	To verify	To verify	LinkedIn Jobs	To verify	Not started				Review	[NEW COMPANY] 1 new role(s). 1. [pertinente] Match score: 70/100; Transformation and operational-performance consulting with market research, benchmarking and recommendations.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
Valuement		Yes	Assago, Lombardy, Italy	Business / Innovation Strategy; Consulting / Operations	1. Strategy Consulting Intern	1. https://it.linkedin.com/jobs/view/4462242589	1	To verify	hybrid	LinkedIn Jobs	No	Not started				Review	[UPDATE EXISTING ROW] 1 new role(s). 1. [pertinente] Match score: 70/100; Duplicate posting of the same strategy consulting internship with market analysis and client recommendations.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
zeb consulting		No	Amsterdam, North Holland, Netherlands	Business / Innovation Strategy; Consulting / Operations	1. Intern Financial Services Consulting (Amsterdam)	1. https://it.linkedin.com/jobs/view/4465154161	1	extracurricular	onsite	LinkedIn Jobs	No	Not started				Review	[UPDATE EXISTING ROW] 1 new role(s). 1. [pertinente] Match score: 70/100; Financial-services consulting internship with own workstream, recommendations and presentation to stakeholders.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
BearingPoint		No	Amsterdam, North Holland, Netherlands	Transformation / Change; Consulting / Operations	1. Stageopdracht: Programma-/Transformatiemanagement x AI Hoe kan de adoptie van AI onze Programma-capaciteiten en marktproposities verbeteren?	1. https://it.linkedin.com/jobs/view/4430392654	1	curricular	hybrid	LinkedIn Jobs	No	No suitable contact				Review	[UPDATE EXISTING ROW] 1 new role(s). 1. [pertinente] Match score: 68/100; Thesis internship researching AI for programme/transformation management and turning it into consultancy propositions.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
Louis Vuitton		Yes	Milan, Lombardy, Italy	CRM / Customer Intelligence	1. CRM Intern - stage curriculare	1. https://it.linkedin.com/jobs/view/4446834266	1	curricular	To verify	LinkedIn Jobs	To verify	Not started				Review	[NEW COMPANY] 1 new role(s). 1. [pertinente] Match score: 68/100; Analisi dei dati cliente con identificazione di trend e opportunità e sviluppo di iniziative di clienteling: area CRM/Customer Intelligence.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
Mavriq		Yes	Milan, Lombardy, Italy	Consulting / Operations; Transformation / Change	1. Junior Business Analyst - Internship | 2. Junior Process Analyst - Internship	1. https://it.linkedin.com/jobs/view/4461660529 | 2. https://it.linkedin.com/jobs/view/4450093792	2	extracurricular	hybrid	LinkedIn Jobs	To verify	Not started				Review	[NEW COMPANY] 2 new role(s). 1. [pertinente] Match score: 68/100; Requirements definition and internal process analysis with cross-functional teams. 2. [pertinente] Match score: 68/100; Process Analyst twin of the Business Analyst posting: process analysis, requirements definition and QA.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
Deutsche Bank		Yes	Milan, Lombardy, Italy	Business / Innovation Strategy; Consulting / Operations; Service Design / CX	1. Internship Innovation and AI - Cards Issuing and Acquiring - Milano (f/m/x) | 2. Internship - Implementation Support - Corporate Bank Milan (f/m/x) | 3. Internship Cash Service Support - Corporate Bank - Milan (f/m/x)	1. https://it.linkedin.com/jobs/view/4463613219 | 2. https://it.linkedin.com/jobs/view/4447047886 | 3. https://it.linkedin.com/jobs/view/4438843833	3	To verify	To verify	LinkedIn Jobs	To verify	Not started				Review	[NEW COMPANY] 3 new role(s). 1. [pertinente] Match score: 65/100; Business case, prioritizzazione e metriche di iniziative di innovazione. 2. [adiacente] Match score: 35/100; Coordinamento progetti e miglioramento processi in ambito banking operations, senza design di servizio. 3. [adiacente] Match score: 28/100; Presidio richieste clienti con analisi delle performance di servizio e proposte di miglioramento.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
Osservatori Digital Innovation		Yes	Milan, Lombardy, Italy	Business / Innovation Strategy; Product / UX	1. Junior Research Analyst	1. https://it.linkedin.com/jobs/view/4461071598	1	To verify	To verify	LinkedIn Jobs	To verify	Not started				Review	[NEW COMPANY] 1 new role(s). 1. [pertinente] Match score: 65/100; Applied research: interviews, case studies and surveys on digital innovation and customer experience.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
Parva Consulting		Yes	Milan, Lombardy, Italy	Consulting / Operations; Business / Innovation Strategy	1. Analyst Internship	1. https://it.linkedin.com/jobs/view/4467280632	1	To verify	To verify	LinkedIn Jobs	To verify	Not started				Review	[NEW COMPANY] 1 new role(s). 1. [pertinente] Match score: 65/100; Requirements definition, project delivery support and market insight research within a consulting practice.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
Volkswagen Financial Services | Italy		Yes	Milan, Lombardy, Italy	Business / Innovation Strategy; Transformation / Change; CRM / Customer Intelligence	1. Fleet Business Performance & Strategy Specialist Jr - STAGE | 2. Business Intelligence Specialist Jr - STAGE	1. https://it.linkedin.com/jobs/view/4458960216 | 2. https://it.linkedin.com/jobs/view/4466850485	2	To verify	hybrid	LinkedIn Jobs	To verify	Not started				Review	[NEW COMPANY] 2 new role(s). 1. [pertinente] Match score: 65/100; Strategy development, scenario analysis, business planning and strategic project coordination for the fleet department. 2. [adiacente] Match score: 45/100; BI and competitor benchmarking feeding product, marketing and business strategy.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
Grafton Recruitment		Yes	Inverigo, Lombardy, Italy	Transformation / Change; Consulting / Operations	1. Continuous Improvement Intern	1. https://it.linkedin.com/jobs/view/4461190338	1	curricular	To verify	LinkedIn Jobs	To verify	Not started				Review	[NEW COMPANY] 1 new role(s). 1. [pertinente] Match score: 62/100; As-is dei processi tramite interviste, definizione di standard di lavoro e progetti Lean.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
Publicis Sapient		Yes	Greater Milan Metropolitan Area	Transformation / Change; Consulting / Operations; CRM / Customer Intelligence; Service Design / CX	1. Project Manager - Stage curriculare | 2. PM CRM & Marketing Automation Intern	1. https://it.linkedin.com/jobs/view/4460982308 | 2. https://it.linkedin.com/jobs/view/4460985309	2	curricular	hybrid	LinkedIn Jobs	To verify	Not started				Review	[NEW COMPANY] 2 new role(s). 1. [pertinente] Match score: 62/100; Fit-gap (as-is/to-be) analysis plus change management and training support on digital projects. 2. [adiacente] Match score: 50/100; Customer journey/workflow optimisation and audience segmentation, wrapped around campaign execution and CRM maintenance.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
STMicroelectronics Italia		Yes	Cornaredo, Lombardy, Italy	Transformation / Change; Consulting / Operations	1. Quality and Reliability Internship	1. https://it.linkedin.com/jobs/view/4375171711	1	To verify	To verify	LinkedIn Jobs	To verify	Not started				Review	[NEW COMPANY] 1 new role(s). 1. [pertinente] Match score: 60/100; Explicit process mapping by interview and observation, visual modelling, then standardisation and optimisation.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
The Estée Lauder Companies Inc.		Yes	Milan, Lombardy, Italy; Cassina de' Pecchi, Lombardy, Italy	Transformation / Change; Consulting / Operations	1. Italy Internship Supply Chain Process Engineer Assistant | 2. Italy Internship Supply Chain Process Engineer Assistant	1. https://it.linkedin.com/jobs/view/4393417128 | 2. https://it.linkedin.com/jobs/view/4294046575	2	To verify	hybrid	LinkedIn Jobs	To verify	Not started				Review	[NEW COMPANY] 2 new role(s). 1. [pertinente] Match score: 55/100; The assigned project is explicitly process mapping, workflow improvement and continuous improvement. 2. [pertinente] Match score: 55/100; Same process-mapping and workflow-optimisation project, located at Cassina de' Pecchi with a hybrid model.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
Fever		No	Madrid, Community of Madrid, Spain	Business / Innovation Strategy; Transformation / Change	1. M&A Integration Intern	1. https://it.linkedin.com/jobs/view/4434858590	1	curricular	hybrid	LinkedIn Jobs	No	Not started				Review	[UPDATE EXISTING ROW] 1 new role(s). 1. [adiacente] Match score: 64/100; Support role on M&A integration analysis and playbooks - relevant business analysis, but mostly assist/help/support tasks.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
Dassault Systèmes		No	Vélizy-Villacoublay, Île-de-France, France; Barcelona, Catalonia, Spain	Product / UX; Consulting / Operations; Business / Innovation Strategy	1. STAGE - Ingénieur.e Recherche – Conception UI/UX d'un Logiciel d'Imagerie Rétinienne (F/H) | 2. INTERNSHIP - Industry Process Consultant (F/M) | 3. STAGE - Intelligence Concurrentielle IA - CATIA Strategy & Alliance (F/H) | 4. STAGE – Innovation IA & 3D – Aéronautique & Défense (F/H)	1. https://it.linkedin.com/jobs/view/4464310025 | 2. https://it.linkedin.com/jobs/view/4438691273 | 3. https://it.linkedin.com/jobs/view/4464314606 | 4. https://it.linkedin.com/jobs/view/4468257181	4	curricular	onsite | hybrid	LinkedIn Jobs	No	Not started				Review	[UPDATE EXISTING ROW] 4 new role(s). 1. [adiacente] Match score: 62/100; Real UX design plus feedback sessions with clinicians, but the stage is an engineering/front-end profile that also implements the interface. 2. [adiacente] Match score: 55/100; Requirements and business-process analysis maps to Consulting/Operations, but the role is technical onboarding and presales of a 3D software platform. 3. [adiacente] Match score: 52/100; Competitive-intelligence analysis is in scope, but the deliverable is an AI tool and sales demos (engineering base). 4. [adiacente] Match score: 52/100; Market-need and use-case analysis feeding product strategy, but the stage is engineering and builds a 3D demonstrator.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
Philips		No	Amsterdam, North Holland, Netherlands	Consulting / Operations; Transformation / Change; Product / UX	1. Internship: Project Management Office (non-thesis) | 2. Product Design Internship – Philips Avent Experience Innovation	1. https://it.linkedin.com/jobs/view/4462948853 | 2. https://it.linkedin.com/jobs/view/4435099776	2	curricular	onsite	LinkedIn Jobs	No	Not started				Review	[UPDATE EXISTING ROW] 2 new role(s). 1. [adiacente] Match score: 62/100; Process-efficiency analysis and Kaizen/5-Why workshop facilitation, but much of the internship is PMO support and communication. 2. [adiacente] Match score: 50/100; Consumer-insight-to-concept and prototyping loops, but the professional base is physical/industrial product design and the ad says service-design profiles are less suited.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
Glovo		No	Madrid, Community of Madrid, Spain	Business / Innovation Strategy	1. Intern Commercial Strategy Analyst	1. https://it.linkedin.com/jobs/view/4436594469	1	curricular	hybrid	LinkedIn Jobs	No	Not started				Review	[UPDATE EXISTING ROW] 1 new role(s). 1. [adiacente] Match score: 60/100; Commercial performance analysis and recommendations, but the core is dashboards, KPI monitoring and review cadences.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
Saegus		No	Paris, Île-de-France, France	Consulting / Operations; Transformation / Change	1. Consultant·e Agile, Design Thinking, Innovation – Stage de fin d'études | 2. Consultant·e Agile, Design Thinking, Innovation – Stage de fin d'études	1. https://it.linkedin.com/jobs/view/4466887107 | 2. https://it.linkedin.com/jobs/view/4463827662	2	curricular	onsite	LinkedIn Jobs	No	Not started				Review	[UPDATE EXISTING ROW] 2 new role(s). 1. [adiacente] Match score: 58/100; Consulting stage using agile/design-thinking methods on client missions, but the intern's stated tasks are mainly deliverables, workshops, comms and events. 2. [adiacente] Match score: 58/100; Consulting stage with agile/design-thinking methods and client missions, but the intern's stated tasks skew to deliverables, comms and events.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
TikTok		Mixed	Madrid, Community of Madrid, Spain; Milan, Lombardy, Italy	Business / Innovation Strategy; Consulting / Operations; CRM / Customer Intelligence	1. Strategy Analyst Project Intern (Chinese Speaker) (TikTok Shop Spain) - 2026 Start | 2. Category Growth Analyst Project Intern (TikTok Shop Italy - Beauty) - 2026 Start (BS/MS)	1. https://it.linkedin.com/jobs/view/4454264969 | 2. https://it.linkedin.com/jobs/view/4427895886	2	curricular	onsite	LinkedIn Jobs	No	Not started				Review	[UPDATE EXISTING ROW] 2 new role(s). 1. [adiacente] Match score: 58/100; Data analysis to surface opportunities and solutions for TikTok Shop, but the role is largely trackers, operational documents and cross-team execution. 2. [adiacente] Match score: 45/100; Category and creator-commerce analytics with campaign execution, insights feeding category growth.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
Adecco		Yes	Milan, Lombardy, Italy	Business / Innovation Strategy; Consulting / Operations	1. Strategy Consultant Intern	1. https://it.linkedin.com/jobs/view/4446662067	1	curricular	To verify	LinkedIn Jobs	To verify	Not started				Review	[NEW COMPANY] 1 new role(s). 1. [adiacente] Match score: 55/100; Strategic-insight analysis and business-development support in a consulting delivery team.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
BoF Careers		Yes	Milan, Lombardy, Italy	CRM / Customer Intelligence	1. Moncler E-CRM & Customer Engagement Intern	1. https://it.linkedin.com/jobs/view/4459479900	1	To verify	To verify	LinkedIn Jobs	To verify	Not started				Review	[NEW COMPANY] 1 new role(s). 1. [adiacente] Match score: 55/100; CRM contact-strategy and campaign work with test-and-learn analysis of engagement performance.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
Bottega Veneta		Yes	Milan, Lombardy, Italy	CRM / Customer Intelligence; Service Design / CX	1. BOTTEGA VENETA CRM Campaign Intern (Curricular Internship) | 2. BOTTEGA VENETA EMEA Client Development Intern	1. https://it.linkedin.com/jobs/view/4458765293 | 2. https://it.linkedin.com/jobs/view/4460322277	2	curricular	To verify	LinkedIn Jobs	To verify	Not started				Review	[NEW COMPANY] 2 new role(s). 1. [adiacente] Match score: 55/100; CRM campaign execution with journey updates and data-driven optimisation proposals. 2. [adiacente] Match score: 45/100; Client-journey feedback and market analysis sit inside an event-planning and clienteling role.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
Kedrion Biopharma		Yes	Milan, Lombardy, Italy	Business / Innovation Strategy; Transformation / Change	1. Global Operations Strategy Internship	1. https://it.linkedin.com/jobs/view/4458393083	1	To verify	To verify	LinkedIn Jobs	To verify	Not started				Review	[NEW COMPANY] 1 new role(s). 1. [adiacente] Match score: 55/100; Business case, governance e use case digitali in Operations globali, ma il baricentro è piattaforma dati/BI e master data.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
indigo.ai		Yes	Milan, Lombardy, Italy	Product / UX; Service Design / CX	1. AI Implementation Intern - Milan	1. https://it.linkedin.com/jobs/view/4406573873	1	To verify	To verify	LinkedIn Jobs	No	Contacted				Review	[UPDATE EXISTING ROW] 1 new role(s). 1. [adiacente] Match score: 52/100; Disegno di flussi conversazionali e traduzione di requisiti, ma il ruolo è implementazione tecnica di agenti AI (LLM, API, codice).	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
Euronext		Yes	Milan, Lombardy, Italy	Transformation / Change; Consulting / Operations; Service Design / CX	1. Euronext Clearing - Operations Projects, Quality & Transformation (OPTQ), Intern | 2. Euronext Securities - Functional Analyst Data Automation Messaging, internship | 3. Euronext Securities - Executive Account Management intern | 4. Euronext Securities - Executive Account Management, intern	1. https://it.linkedin.com/jobs/view/4450242243 | 2. https://it.linkedin.com/jobs/view/4463615291 | 3. https://it.linkedin.com/jobs/view/4447078056 | 4. https://it.linkedin.com/jobs/view/4447073088	4	To verify	To verify	LinkedIn Jobs	To verify	Not started				Review	[NEW COMPANY] 4 new role(s). 1. [adiacente] Match score: 50/100; Raccolta requisiti e supporto alla roadmap di trasformazione, con forte componente di monitoraggio e reporting. 2. [adiacente] Match score: 48/100; Raccolta requisiti, gap analysis e documentazione di alternative in ambito IT/RPA. 3. [adiacente] Match score: 30/100; Gestione richieste clienti con analisi dei trend e proposte di miglioramento delle procedure. 4. [adiacente] Match score: 30/100; Posting duplicato del precedente: gestione richieste clienti con analisi dei trend di servizio.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
Hippocrates Holding S.p.A. | B Corp		Yes	Milan, Lombardy, Italy	Consulting / Operations; Transformation / Change	1. Supply Chain & IT Analyst – Intern	1. https://it.linkedin.com/jobs/view/4443606311	1	To verify	hybrid	LinkedIn Jobs	To verify	Not started				Review	[NEW COMPANY] 1 new role(s). 1. [adiacente] Match score: 50/100; Analisi e ottimizzazione di processi con raccolta requisiti, ma in chiave sistemi IT (WMS/ERP), più vicino a configurazione che a design.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
SDG Group Italy		Yes	Milan, Lombardy, Italy	Transformation / Change; Consulting / Operations	1. Junior Process Mining Analyst	1. https://it.linkedin.com/jobs/view/4463026662	1	To verify	hybrid	LinkedIn Jobs	To verify	Not started				Review	[NEW COMPANY] 1 new role(s). 1. [adiacente] Match score: 50/100; Data-driven end-to-end process analysis and operating-model redesign, but tool and engineering heavy.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
sennder		Yes	Milan, Lombardy, Italy	Consulting / Operations; Transformation / Change	1. Operations & Carrier Quality Intern | 2. Operations Quality Support Internship	1. https://it.linkedin.com/jobs/view/4380983254 | 2. https://it.linkedin.com/jobs/view/4459824040	2	To verify	onsite	LinkedIn Jobs	To verify	Not started				Review	[NEW COMPANY] 2 new role(s). 1. [adiacente] Match score: 50/100; Service-quality programme with process improvement and requirements drafting, mixed with operational admin. 2. [adiacente] Match score: 40/100; Root-cause analysis and process recommendations, but heavy on data entry, document checking and reports.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
ATM - Azienda Trasporti Milanesi		Yes	Milan, Lombardy, Italy	Consulting / Operations; Transformation / Change	1. STAGE IT PROJECT MANAGER	1. https://it.linkedin.com/jobs/view/4462824279	1	To verify	To verify	LinkedIn Jobs	To verify	Not started				Review	[NEW COMPANY] 1 new role(s). 1. [adiacente] Match score: 48/100; Requirements and process analysis plus demand collection inside IT/digital-transformation projects.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
Bolton		Yes	Milan, Lombardy, Italy	Transformation / Change; Consulting / Operations	1. Junior Project Manager Intern	1. https://it.linkedin.com/jobs/view/4447432159	1	To verify	To verify	LinkedIn Jobs	No	Not started				Review	[UPDATE EXISTING ROW] 1 new role(s). 1. [adiacente] Match score: 48/100; ERP rollout project support with process and change analysis, but a large share is documentation and presentations.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
Minor Hotels Europe and Americas		Yes	Milan, Lombardy, Italy	CRM / Customer Intelligence; Business / Innovation Strategy	1. Stage Sales & Development Data Analyst - Coperama Italy	1. https://it.linkedin.com/jobs/view/4465021689	1	To verify	onsite	LinkedIn Jobs	To verify	Not started				Review	[NEW COMPANY] 1 new role(s). 1. [adiacente] Match score: 48/100; Client and market data analysis feeding sales decisions, but no experience/relationship design content.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
PROTOS		Yes	Greater Milan Metropolitan Area	Sustainability	1. Stage – Energy Transition & Decarbonization Advisory	1. https://it.linkedin.com/jobs/view/4458229982	1	To verify	onsite	LinkedIn Jobs	To verify	Not started				Review	[NEW COMPANY] 1 new role(s). 1. [adiacente] Match score: 48/100; New sustainability service development alongside largely technical due-diligence and data work.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
AGIC		Yes	Milan, Lombardy, Italy	Consulting / Operations; CRM / Customer Intelligence	1. Microsoft Dynamics 365 Customer Engagement Junior	1. https://it.linkedin.com/jobs/view/4465524737	1	To verify	To verify	LinkedIn Jobs	To verify	Not started				Review	[NEW COMPANY] 1 new role(s). 1. [adiacente] Match score: 45/100; Gap/process analysis on CRM processes, but the deliverable is platform configuration for Dynamics 365.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
Catawiki		No	The Randstad, Netherlands	CRM / Customer Intelligence	1. CRM Marketing Intern	1. https://it.linkedin.com/jobs/view/4460730978	1	curricular	hybrid	LinkedIn Jobs	No	Not started				Review	[UPDATE EXISTING ROW] 1 new role(s). 1. [adiacente] Match score: 45/100; Campaign operations and a CRM support channel with some A/B and post-campaign analysis - close to the CRM limit 'just sending campaigns'.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
Humanitas San Pio X		Yes	Milan, Lombardy, Italy	Consulting / Operations	1. Inpatient Operations Intern	1. https://it.linkedin.com/jobs/view/4448786715	1	To verify	onsite	LinkedIn Jobs	To verify	Not started				Review	[NEW COMPANY] 1 new role(s). 1. [adiacente] Match score: 45/100; Pianificazione di capacità e analisi degli scostamenti nel percorso paziente: operations sanitarie, solo indirettamente vicino ai processi.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
OMTRA1956 Benefit Corporation		Yes	Milan, Lombardy, Italy	Sustainability	1. Sustainability Specialist- Stage full time retribuito	1. https://it.linkedin.com/jobs/view/4468213322	1	To verify	hybrid	LinkedIn Jobs	To verify	Not started				Review	[NEW COMPANY] 1 new role(s). 1. [adiacente] Match score: 45/100; Sustainability strategy support and circular initiatives, but the required professional base is GHG/LCA calculation and certification compliance.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
PROMETEON TYRE GROUP		Yes	Milan, Lombardy, Italy	Business / Innovation Strategy; Consulting / Operations	1. Pricing Intern Italy | 2. Network Planning Intern	1. https://it.linkedin.com/jobs/view/4467214521 | 2. https://it.linkedin.com/jobs/view/4462854068	2	To verify	hybrid	LinkedIn Jobs	To verify	Not started				Review	[NEW COMPANY] 2 new role(s). 1. [adiacente] Match score: 45/100; Commercial pricing analysis producing data-based recommendations, but no market/scenario or business-model design. 2. [adiacente] Match score: 32/100; Supply-chain/network planning operations with data analysis and only marginal process-improvement input.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
Safetykleen		Yes	Pero, Lombardy, Italy	Service Design / CX; CRM / Customer Intelligence	1. STAGE- ASSISTENZA CLIENTI	1. https://it.linkedin.com/jobs/view/4462532594	1	To verify	hybrid	LinkedIn Jobs	To verify	Not started				Review	[NEW COMPANY] 1 new role(s). 1. [adiacente] Match score: 45/100; Customer feedback turned into insights and improvement areas, but embedded in inbound customer assistance and retention reporting.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
Salesforce		No	Amsterdam, North Holland, Netherlands	Consulting / Operations	1. Salesforce Internships - Amsterdam (September Start date)	1. https://it.linkedin.com/jobs/view/4429120214	1	curricular	hybrid	LinkedIn Jobs	No	Contacted				Review	[UPDATE EXISTING ROW] 1 new role(s). 1. [adiacente] Match score: 45/100; One of the three hub paths is discovery/requirements (Solutions Engineering), but the others are sales and partner management, and the work is presales configuration.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
Trademybusiness.com		Yes	Greater Milan Metropolitan Area	Consulting / Operations; Business / Innovation Strategy	1. Junior operations - M&A (Stage)	1. https://it.linkedin.com/jobs/view/4464483585	1	To verify	hybrid	LinkedIn Jobs	To verify	Not started				Review	[NEW COMPANY] 1 new role(s). 1. [adiacente] Match score: 45/100; M&A deal operations support: analysis, buyer mapping, CRM upkeep and process improvement.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
adidas		Yes	Milan, Lombardy, Italy	Business / Innovation Strategy	1. Internship Program 2027 - Sales	1. https://it.linkedin.com/jobs/view/4461880917	1	To verify	To verify	LinkedIn Jobs	To verify	Not started				Review	[NEW COMPANY] 1 new role(s). 1. [adiacente] Match score: 42/100; Sales-department internship with market/competitor research and trend analysis; commercial base.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
Arcadis		Yes	Milan, Lombardy, Italy	Consulting / Operations	1. Project Management Intern	1. https://it.linkedin.com/jobs/view/4431247828	1	To verify	To verify	LinkedIn Jobs	To verify	Not started				Review	[NEW COMPANY] 1 new role(s). 1. [adiacente] Match score: 42/100; Project-management support with scheduling, budget and stakeholder coordination in construction/engineering.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
Adare Pharma Solutions		Yes	Pessano con Bornago, Lombardy, Italy	Transformation / Change	1. Operational Excellence Intern	1. https://it.linkedin.com/jobs/view/4458410315	1	To verify	To verify	LinkedIn Jobs	To verify	Not started				Review	[NEW COMPANY] 1 new role(s). 1. [adiacente] Match score: 40/100; Operational-excellence data analysis for continuous-improvement initiatives; industrial/pharma operations base.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
